国名,訪日外客数,年月日
GCC6か国,1510.0,2023/1/01
その他アジア,17411.0,2023/1/01
その他オセアニア,289.0,2023/1/01
その他ヨーロッパ,4533.0,2023/1/01
その他北アメリカ,791.0,2023/1/01
その他南アメリカ,2216.0,2023/1/01
アイルランド,1031.0,2023/1/01
アフリカ計,2185.0,2023/1/01
イスラエル,824.0,2023/1/01
イタリア,4305.0,2023/1/01
インド,9057.0,2023/1/01
インドネシア,22618.0,2023/1/01
オセアニア計,57629.0,2023/1/01
オランダ,2359.0,2023/1/01
オーストリア,1017.0,2023/1/01
カナダ,18738.0,2023/1/01
シンガポール,26658.0,2023/1/01
スイス,1757.0,2023/1/01
スウェーデン,1853.0,2023/1/01
スペイン,3075.0,2023/1/01
タイ,63431.0,2023/1/01
デンマーク,1073.0,2023/1/01
トルコ,1704.0,2023/1/01
ドイツ,7380.0,2023/1/01
ニュージーランド,4787.0,2023/1/01
ノルウェー,930.0,2023/1/01
フィリピン,29679.0,2023/1/01
フィンランド,900.0,2023/1/01
フランス,9771.0,2023/1/01
ブラジル,2050.0,2023/1/01
ベトナム,51564.0,2023/1/01
ベルギー,1073.0,2023/1/01
ポルトガル,829.0,2023/1/01
ポーランド,1185.0,2023/1/01
マカオ,1319.0,2023/1/01
マレーシア,27099.0,2023/1/01
メキシコ,2271.0,2023/1/01
モンゴル,2961.0,2023/1/01
ヨーロッパ計,59795.0,2023/1/01
ロシア,1628.0,2023/1/01
中国,31291.0,2023/1/01
北アメリカ計,109914.0,2023/1/01
北欧地域,4756.0,2023/1/01
南アメリカ計,4266.0,2023/1/01
台湾,259340.0,2023/1/01
無国籍・その他,27.0,2023/1/01
米国,88114.0,2023/1/01
英国,15096.0,2023/1/01
豪州,52553.0,2023/1/01
韓国,565251.0,2023/1/01
香港,151939.0,2023/1/01
GCC6か国,1560.0,2023/2/01
その他アジア,14847.0,2023/2/01
その他オセアニア,202.0,2023/2/01
その他ヨーロッパ,4676.0,2023/2/01
その他北アメリカ,804.0,2023/2/01
その他南アメリカ,2516.0,2023/2/01
